gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
INPP4A	1508	1014	1698	889	403	913	1552	1618	1321	2086	2442	497	440	976	1101
APC	2495	2289	2150	1379	581	1378	3123	4065	3133	3482	4595	348	349	3123	3828
SEMA6D	36	15	42	51	30	4	15	13	8	5	25	172	182	69	77
TACC1	15074	18198	18581	10128	4261	15797	13811	14240	11835	29367	38263	693	595	5609	6758
HNRNPC	6923	6408	7118	3605	1473	5025	4694	4341	3701	5286	7046	446	288	2742	3446
JADE2	4161	4566	3604	2044	893	2643	587	691	609	428	475	576	500	325	408
RHOT1	2687	2396	2830	1391	568	2075	1003	1039	844	1235	1636	139	143	649	821
RCBTB2	1963	1963	2090	1108	414	1753	1332	2205	1678	1569	1898	149	169	836	974
FAM49B	3580	3323	3785	2070	867	2597	1519	1886	1451	2260	2956	155	146	1591	2180
ATP2B2	190	65	95	88	65	22	2	0	0	0	1	356	364	0	0
CADPS2	9	2	0	2	17	2	53	16	25	24	29	182	272	39	82
DNM1L	1773	1462	1831	996	374	1244	2133	1749	1349	2223	3259	178	128	1523	1703
PAM	17000	19536	20603	12689	5697	20963	11448	15540	12321	8178	11653	187	214	11281	12735
DEPDC5	516	513	441	453	175	383	239	317	255	374	452	454	423	193	196
DGKB	3	2	7	4	20	2	1	0	0	0	2	117	156	0	2
PCM1	4579	4560	4064	2451	910	2229	3781	4537	3507	4275	5829	875	628	2700	3175
LOC101080472	31	4	19	13	32	6	1	6	12	3	5	238	288	2	5
TIA1	3524	2914	2749	1844	682	2164	1158	1092	846	1207	1748	153	140	596	700
SEC31A	2614	2525	2728	1542	604	1822	6298	7215	6031	8005	9685	397	339	4974	6207
RNF111	1084	877	853	719	282	665	600	798	652	643	839	185	200	300	372
ATP9B	4565	5503	5897	4035	1641	3375	717	923	763	972	1261	236	177	528	644
ABI2	4412	5581	5699	4095	2217	5593	568	695	536	711	1051	157	209	539	660
ELAVL2	5	3	1	4	17	4	11	63	41	28	35	43	61	27	24
EYA1	2	3	5	0	15	4	34	6	8	4	11	144	131	28	37
LOC101080886	50	62	58	41	13	59	33	30	27	29	20	48	19	13	15
LOC101089514	382	170	288	215	54	224	130	64	70	142	178	26	18	46	92
LOC101084959	57	74	43	53	12	70	30	4	5	29	40	12	8	0	2
LOC101088333	2	5	0	2	4	1	2	1	1	1	1	1	1	3	2
FYN	3064	3591	3503	1325	558	2540	4278	3579	3006	4099	5034	735	491	1144	1378
PAPOLA	6944	6203	6546	4152	1515	4574	4058	4087	3117	4187	5720	448	332	2551	3059
ING4	760	641	676	382	139	536	522	577	440	585	717	147	143	221	253
SCN1A	2	3	5	4	18	0	1	0	1	1	0	240	279	0	0
CAMK2D	2119	1944	1735	710	413	1346	3919	4292	3445	4333	5507	149	118	2522	3090
SLC8A3	6	5	5	1	24	3	41	37	20	19	22	197	249	80	101
USP28	656	587	581	329	129	395	456	465	383	630	793	283	272	436	556
ZNF532	52	71	45	22	35	19	1307	935	776	1020	1184	196	274	408	488
MFF	1228	1180	1654	679	344	1261	1942	2054	1911	2005	2932	172	127	1417	1597
TCF4	1129	711	946	913	277	791	1635	2132	1854	1468	1829	213	198	1185	1394
HMBS	336	250	178	362	33	132	427	489	416	546	623	103	144	351	408
SLMAP	2520	2714	2556	1852	659	2193	2784	3799	2867	3871	4668	245	252	4336	5688
OSBPL3	336	272	492	226	156	221	4521	5475	4479	3364	4364	392	344	5347	6618
EHBP1	1118	1769	1090	1034	387	1131	567	573	465	539	792	277	242	533	588
KHK	217	182	172	83	43	120	35	70	48	49	48	104	153	42	42
CYTH4	2913	2057	3164	1788	650	2491	0	0	2	0	0	184	159	1	0
ZDHHC16	938	729	764	428	135	578	402	491	351	568	741	124	113	379	378
AP1B1	3377	3206	3998	2489	948	3855	1894	1898	1710	3086	3727	440	409	2145	2362
KIAA1468	1464	1204	1169	888	349	866	1573	2005	1611	1774	2308	167	162	1201	1491
ATP2B4	1827	1230	1893	1388	564	880	4158	3975	2879	6596	9438	796	831	3411	3830
LYN	7529	5467	8208	7721	2385	6312	405	730	631	519	658	71	106	230	238
SLC10A3	1409	1271	1387	683	323	1175	1586	1992	1855	2087	2482	90	94	2007	2170
CSNK1G3	1853	1628	1866	1687	498	1463	410	433	342	514	751	142	190	264	296
C2CD5	2048	1914	1877	1156	427	1431	1287	1160	950	1492	1946	188	166	1028	1122
PPIP5K2	2228	2530	1821	1036	525	2337	2149	2744	2132	2172	3021	149	154	1108	1320
SCN3A	13	4	6	12	32	3	3	8	12	8	4	156	169	2	4
SATB1	5903	4496	4768	3129	1210	3676	97	140	90	170	239	665	520	26	39
GIT2	6513	4568	5249	3155	1294	4201	2036	1913	1566	2147	2724	776	649	1196	1377
RPS6KC1	961	1035	934	663	288	685	1544	1571	1230	1872	2627	201	208	831	1137
ECT2	68	76	101	92	47	47	168	152	85	142	198	226	214	68	109
CCR3	70	38	66	47	11	7	1	0	0	0	0	113	117	0	0
ST7	753	960	869	625	239	539	407	471	385	471	576	115	166	331	389
EIF2B4	1087	908	946	504	182	674	508	555	498	680	859	215	201	352	474
INTS10	1144	1054	1120	514	212	801	1815	1956	1633	2021	2535	265	247	803	1000
TRAF3	1537	970	1200	1211	396	952	1137	1502	1390	1433	1923	277	281	811	978
PCBP2	2709	1793	1986	3138	920	1419	1813	1710	1322	1952	2495	888	634	971	1290
NAP1L1	18197	18217	20202	15160	6586	17767	4973	4967	3702	6037	8766	1315	751	3329	3921
PDE1A	5	4	2	3	25	8	198	143	118	42	64	81	106	694	963
EMSY	660	494	509	409	198	352	304	353	223	322	391	233	257	183	234
HNRNPH3	939	631	708	632	207	496	268	251	185	301	604	549	342	207	190
TBC1D31	316	255	368	255	113	208	690	584	489	827	1075	163	159	256	302
GPALPP1	608	582	559	373	164	397	459	457	402	550	741	190	269	328	438
RNF44	1802	1325	1456	1178	443	1030	184	160	170	181	216	390	303	93	119
BBS9	210	293	265	181	75	175	317	350	323	462	665	152	198	214	263
STAU1	1948	1804	1730	1341	427	1299	1106	1054	861	1301	1585	385	347	793	977
TCP11	6	9	14	8	15	24	4	15	10	8	7	98	99	3	0
PFKM	49	35	39	40	36	34	1995	1595	1440	1850	2322	259	294	1681	1942
FGR	1992	831	2255	1056	565	944	5	9	7	2	2	257	282	27	26
USP2	5	5	5	10	11	6	12	23	8	9	15	269	261	14	12
CWC15	1140	1312	991	453	234	762	985	1005	880	1147	1402	181	178	712	867
EDARADD	59	76	90	37	17	50	269	392	302	154	209	50	39	251	315
HNRNPK	14778	13577	14522	8055	2761	11683	13214	13643	11219	15795	21161	1440	900	9375	11425
SMG7	1192	763	870	1014	354	519	460	498	395	630	696	603	485	252	302
NLGN3	13	7	7	1	25	3	2	2	1	4	4	176	179	6	4
HNRNPH1	13766	10850	12033	6057	1855	7768	4693	4431	3515	5507	7755	1257	838	2754	3436
NRG1	161	66	181	77	76	69	69	24	10	50	85	187	200	36	31
ANKS1B	90	106	97	97	61	130	45	95	79	28	27	143	189	29	35
TRPC4	2	9	3	4	18	3	1	0	0	1	0	196	251	0	0
OSBPL9	4013	3341	3975	2539	968	2877	3649	5089	3954	4346	5863	215	200	2822	3411
POGZ	747	471	504	726	227	352	158	184	117	212	288	375	378	125	100
DTNA	16	14	25	20	40	11	149	432	356	1252	1588	286	342	132	252
GTF2I	4401	3573	3920	2346	811	2857	3877	4433	3469	4340	6125	692	587	2933	3581
EDA	7	5	5	4	7	1	349	432	356	556	669	122	142	552	695
LMTK3	11	18	13	3	31	4	9	56	52	25	36	98	111	16	17
BZW1	8786	6748	8124	4570	1790	6127	8831	9378	7330	9867	13214	555	358	5845	7377
RIMS2	11	5	3	7	37	6	9	10	5	15	19	240	336	16	22
DLGAP4	1267	1270	1175	1530	569	1066	1097	1309	1120	1479	1775	305	350	1095	1403
CTNNA2	6	1	2	1	24	1	0	1	0	2	0	115	146	0	1
SCN8A	229	102	396	118	122	143	7	0	5	3	1	383	482	22	10
EPB41	13265	13110	10276	11149	2315	8401	968	782	622	1333	1968	611	528	1245	1272
FOXP2	9	7	12	12	25	4	162	163	134	126	170	139	155	108	99
RAPGEF6	3768	3431	2692	2049	879	1882	549	659	474	677	890	1118	837	542	581
CPEB4	2236	2994	2522	1758	696	1983	523	650	503	762	983	212	240	552	718
TTC33	678	710	628	317	173	516	506	661	531	557	765	77	92	370	487
BRPF1	914	848	823	519	208	680	442	402	397	515	654	596	499	253	298
NT5C3A	3071	4091	4186	1779	788	3308	521	627	480	585	740	74	78	292	355
ACSL1	1249	2032	1015	671	349	1418	2609	3017	2480	3054	4300	259	261	1265	1333
RNF144B	2331	962	2747	984	755	1219	0	3	8	4	2	122	147	3	2
RIC8B	307	279	302	198	95	218	219	173	124	234	278	149	183	91	140
PABPC4	1110	1000	1020	790	226	836	1881	1959	1726	2204	2977	409	311	1219	1415
SERBP1	6659	5791	6264	3596	1205	4646	5434	5710	4535	6699	9108	1815	994	4062	5084
TIAM1	1388	676	1169	582	396	777	248	30	42	264	389	826	678	29	27
FKBP2	400	356	424	221	78	270	414	420	448	540	702	116	96	582	555
ADD3	18648	16258	15954	7470	2702	12847	4547	3939	3082	2453	3092	190	209	1712	2203
MAPRE2	2186	1331	2171	3660	1002	1795	194	362	279	288	449	255	220	316	281
TOM1L2	5183	4591	4960	2918	1543	6072	967	999	923	1092	1219	249	290	1190	1347
NFE2L1	2871	3848	3700	1805	489	2091	8670	12512	10996	9077	10931	437	368	11239	12523
MED24	1073	915	839	513	248	666	391	423	393	441	502	277	283	231	298
PLEKHF2	2111	1366	1686	2315	758	1485	125	176	138	183	290	49	47	106	108
DDX3X	18127	18399	18764	7124	2334	10764	8055	9965	7879	14703	19182	1290	859	7488	9329
CRHR2	4	2	4	1	13	0	1	0	0	0	0	72	104	0	2
ZNF692	611	595	480	222	85	314	98	104	98	137	144	106	133	63	83
P4HA2	82	64	54	28	34	39	7319	6995	6016	7450	10878	443	357	5387	5795
IRF2	1647	1851	1880	1247	533	1357	254	275	243	310	424	399	357	178	235
CCAR2	2431	2032	2117	1275	467	1805	1676	1797	1730	2017	2277	678	500	1257	1507
TMEM219	839	721	991	360	188	618	350	376	320	485	597	83	102	212	308
LOC101088313	574	315	390	516	194	252	107	105	87	98	159	188	153	67	96
MAPK10	4	5	8	9	47	3	9	9	9	14	11	137	167	1	4
USP45	1375	1285	1233	650	266	746	926	939	734	1035	1406	128	143	615	860
ABCC9	2	4	6	8	20	3	499	3079	2385	346	547	255	325	1394	1575
NR1H4	2	4	5	5	9	1	2	1	1	0	0	86	133	0	0
CPTP	451	438	408	178	92	277	468	647	605	969	1204	91	102	443	567
SSX2IP	932	787	1095	449	246	819	859	667	526	872	1246	175	121	465	542
NTNG1	57	13	34	8	36	11	11	7	3	4	5	98	160	5	5
POLI	290	312	239	130	73	174	140	171	126	144	188	100	128	113	158
RALGPS1	375	255	477	357	147	231	113	86	86	132	184	323	379	60	61
GAPVD1	2460	1900	2060	1568	657	1550	1930	1973	1618	2011	2794	421	462	1105	1318
PCDH9	96	93	50	92	41	124	1420	3491	2785	1650	1883	117	156	1586	1851
CNTNAP4	5	1	2	5	26	2	2	1	1	6	13	188	249	1	0
RALGPS2	7401	3846	5475	9142	2146	4964	1471	946	765	2109	3135	161	221	474	553
CCDC66	2958	2649	2766	1393	582	1631	617	673	564	674	845	170	172	359	443
SGCE	23	12	22	8	16	5	831	641	484	813	1015	75	87	105	126
MFAP3L	1529	1722	1682	1408	497	1657	3	7	6	10	9	188	247	10	12
ANKRD6	23	36	32	20	33	15	55	66	40	74	99	209	230	8	15
OSBPL8	8948	8497	8350	3922	1522	5656	7056	8732	6795	7191	9201	349	303	4025	5185
TMEM59	3673	4702	4131	2678	1189	3492	5142	5663	4637	4797	6024	210	178	4710	5891
PRKAA1	2157	2388	2219	1402	613	1559	1244	1282	906	1259	1539	155	156	843	945
KDM4C	2092	1772	1800	1226	579	1464	895	879	785	771	1175	352	329	733	808
NDUFAF8	183	208	185	82	41	156	302	385	347	420	495	28	28	248	272
LOC101091741	1254	1279	1100	512	221	833	425	479	376	565	790	100	161	237	281
EPHA5	6	1	0	0	21	2	2	8	3	1	2	137	150	1	5
ADD1	4124	3486	5078	2512	599	2410	2770	3014	2759	3985	4735	938	659	2378	2786
CSNK1G1	862	824	833	571	245	644	1002	1158	912	1187	1541	310	297	624	809
PTPRF	44	29	22	33	53	38	387	506	459	1255	1463	320	352	387	404
PKP4	215	263	257	109	54	206	560	574	462	539	719	303	227	776	923
BAZ2B	1785	1378	1669	1046	460	1096	988	1448	1072	1289	1724	401	523	656	714
OSBPL6	122	51	78	24	25	27	128	99	100	338	476	200	246	116	170
CARF	921	1145	1196	704	309	715	157	171	135	152	189	120	152	89	108
ELF1	5017	5376	4469	2832	1067	3608	1224	1468	1190	1314	1862	366	283	570	690
ADCYAP1R1	6	2	7	3	25	0	0	1	2	0	0	285	258	7	6
SLC7A2	5	1	2	1	18	4	2351	4955	4044	1767	2224	120	163	792	848
TCF12	1839	1913	1473	1078	419	1185	4880	3955	3311	4707	5943	200	178	2583	3116
SLC12A6	2446	1624	1997	1708	621	1366	1319	1103	932	1115	1400	323	359	592	690
SAP130	419	352	361	370	106	275	263	329	250	339	469	241	261	207	211
TANK	1344	1299	1518	832	305	807	441	508	362	484	662	118	98	252	334
BBX	2692	2390	2112	1467	620	1544	1217	1779	1390	1666	2087	475	458	918	1234
P2RY12	1146	1798	1185	729	388	1202	2	0	0	0	1	35	31	0	0
HACL1	375	326	363	243	97	237	324	334	314	368	440	184	146	222	251
LOC101099396	964	1019	920	451	214	702	549	523	417	619	825	148	130	328	444
BCO2	77	48	59	28	26	44	552	423	329	305	441	75	93	396	458
ZNF143	1025	1000	1030	538	238	770	481	470	408	539	759	209	230	425	501
RPS24	21229	20613	26112	15644	4247	14089	12668	11015	8733	13423	19266	1545	878	7571	8915
NF2	1419	1253	1232	821	299	1057	1968	2395	2043	2926	3679	370	280	1219	1412
ELP2	690	531	629	405	125	511	860	773	637	848	1182	128	143	478	597
SLC25A39	844	614	639	993	145	594	897	1056	928	1270	1350	135	115	886	1043
SIAH1	369	318	342	162	75	221	530	569	529	671	839	37	48	320	345
LOC105261399	32	22	49	16	8	13	1	0	1	3	0	59	70	0	0
CDK10	1023	885	774	322	184	558	299	392	362	390	476	89	74	321	374
CCP110	839	649	640	319	131	391	623	792	600	826	1217	237	185	481	579
PEX2	711	559	643	338	150	454	1094	1198	979	1261	1666	124	112	676	869
PORCN	36	43	44	12	15	19	225	185	206	281	301	109	176	201	201
DOCK9	2175	2595	2111	1320	509	1420	1015	1967	1576	1246	2000	622	526	1416	1609
GUK1	1318	1324	1556	675	311	964	835	1065	979	1111	1247	131	80	1309	1439
TMEM205	53	49	44	33	19	42	191	213	168	242	276	29	60	211	219
MITF	621	226	920	324	228	346	461	923	818	561	763	105	96	357	433
SMARCAD1	1131	885	880	674	254	618	704	761	639	830	1089	118	147	393	505
AASDH	823	718	633	323	152	505	590	776	670	709	1005	115	96	451	590
ADGRG6	67	70	75	29	40	58	584	1065	941	740	877	152	193	159	240
PIGV	979	479	566	390	131	407	362	580	474	456	574	169	187	222	242
MIER1	2722	2324	2157	1547	746	1691	790	973	727	896	1397	248	240	615	731
DNPEP	1421	1501	1436	712	280	1132	913	1277	1104	1030	1154	135	115	804	830
ALDH18A1	475	510	472	299	95	319	1444	1469	1145	2549	3548	275	319	1478	1690
KNOP1	410	395	369	175	82	226	625	691	539	830	1071	230	263	294	481
STAU2	6955	7973	8474	5845	1917	5967	649	768	590	717	963	113	155	521	702
PEX5L	37	10	17	23	34	5	17	117	100	13	15	153	202	60	78
CLK2	1307	1119	1224	624	253	772	397	368	318	481	571	207	165	188	279
STAG2	7401	6390	6424	3921	1480	4671	2532	2681	2098	2645	3887	695	454	1380	1648
KIDINS220	6345	4201	6253	3974	1446	5142	7633	8459	6720	9054	11843	498	410	5002	5569
TBC1D14	3115	3488	2877	2150	875	3570	1215	2009	1698	1470	1889	193	194	1942	2112
KCNQ5	493	509	462	521	149	309	519	375	285	295	405	145	154	405	496
SPG21	809	822	890	408	227	536	1764	1544	1260	3063	3934	65	73	3330	4207
RHOA	4378	2942	4476	4592	1490	3034	3851	3360	2777	4948	6893	881	510	3447	4066
EWSR1	5459	6732	5695	2749	1056	4322	2612	2282	2003	3180	4020	932	591	1725	1999
INPP5K	1104	1034	947	516	222	759	277	444	433	407	477	178	150	234	226
CNOT1	8040	6723	6729	4922	1886	5123	4437	5345	4417	5606	6780	684	566	3060	3667
RGS7	2	2	3	3	12	1	51	113	71	67	109	41	32	28	38
PUF60	2273	2364	2210	1186	428	1892	2450	2565	2314	3197	3579	352	288	1797	1967
NLGN4X	6	6	0	10	16	4	0	0	0	0	0	203	201	2	0
CELF1	2624	1923	2259	1458	514	1626	1101	1206	1034	1499	1875	350	327	1035	1226
LMAN2L	210	175	205	147	58	163	393	503	410	587	675	176	164	335	377
ARHGEF7	3492	3515	4480	3178	1121	3370	1829	1780	1501	2346	2983	560	420	1274	1398
TTC39A	75	16	24	41	16	24	175	213	175	326	405	181	195	266	288
SCN9A	4	3	3	5	16	5	8	10	12	0	3	213	274	2	1
NLGN1	2	3	6	7	20	3	0	4	4	0	2	104	170	2	2
APBB1	290	342	246	84	56	111	1801	2516	2251	2330	2541	152	181	1829	2161
CCNJ	332	217	322	165	90	161	141	144	139	214	362	56	97	118	119
GSN	8312	3917	8079	3055	2506	7372	5399	8571	7340	7711	9578	231	201	4886	5461
LOC105261231	10	15	13	10	16	31	18	8	20	22	25	51	33	4	8
VPS13B	4342	3038	3920	3439	1357	2507	3127	4883	3754	3421	4465	502	475	3642	4225
IKZF1	7799	6741	6138	3739	1415	5540	1	1	0	0	0	746	507	0	0
SMAD9	14	12	11	0	17	6	2234	3330	2742	1985	2525	118	115	1139	1391
TBC1D1	2637	2791	2757	1572	630	2153	239	277	238	455	630	445	501	121	120
DAAM1	513	463	425	204	93	238	365	486	418	470	631	500	471	295	312
SENP5	1686	1373	1505	1010	409	1083	1269	1385	1047	1333	1765	365	313	877	1033
GAD1	5	3	4	3	21	1	1	0	0	0	0	206	247	0	0
LIX1	159	133	104	79	34	61	32	29	27	27	28	143	165	8	13
PAFAH1B1	2536	2214	2322	1720	614	1590	4262	4994	3851	5152	7206	265	207	3142	3828
AZIN1	5482	4002	4648	3329	992	4065	5117	6021	4711	6006	8065	382	217	4895	6313
PPP2CA	4975	4439	4788	2708	1178	4122	2863	3126	2466	3422	4601	276	199	1727	2241
PPP2CB	547	596	556	386	187	354	991	1217	1022	1218	1654	68	80	721	838
APBB3	614	537	463	228	98	321	90	85	63	102	131	143	172	29	63
JAKMIP2	1	5	4	0	28	3	138	148	116	49	77	222	259	2	5
TRAPPC13	761	885	765	421	189	546	808	857	689	837	1187	56	56	650	726
FBXW11	2877	2930	3116	1650	544	1841	2908	3159	2674	3437	4342	217	249	1574	1966
TNIP1	2013	2055	2277	1758	633	2237	1003	1046	965	1293	1575	753	531	1115	1275
UBL5	1337	1229	1480	854	300	1036	886	1086	958	1078	1326	68	82	908	989
LOC101085956	0	0	2	1	1	1	0	0	0	0	0	22	20	0	0
LOC101086955	0	0	0	2	2	1	0	0	0	0	0	4	4	0	0
PFKFB4	27	24	45	12	15	10	71	113	99	65	107	165	194	140	169
NDUFAF3	436	482	487	279	93	374	689	701	679	889	1006	35	43	583	605
SRGAP3	48	56	50	29	33	22	31	55	55	13	13	300	365	32	48
FAM3C	911	865	806	706	369	687	542	622	439	667	936	88	57	268	306
LOC101100878	1	1	0	2	2	0	0	0	0	0	0	24	36	0	0
LOC101101123	0	0	0	0	1	0	0	0	1	0	0	18	7	0	0
LOC101083254	2	0	1	1	4	1	0	0	0	0	0	43	53	0	0
UGP2	1304	1130	1357	706	262	873	4265	3922	3160	5688	8304	106	120	2173	2756
RTKN	35	24	20	10	22	17	75	85	75	51	38	143	176	33	46
SH2D4A	1	4	2	2	15	1	276	348	296	331	457	56	119	281	328
YTHDC1	3061	2650	2487	1400	523	1986	963	1067	841	1255	1688	654	483	747	859
SLC2A9	40	75	104	38	47	39	180	335	331	59	88	179	187	545	635
SH3BP2	811	381	839	416	270	491	774	1038	843	1001	1429	184	180	1042	1064
PGC	2	1	0	3	4	0	0	0	0	0	0	39	67	0	0
SNURF	280	295	312	106	44	221	281	342	289	360	455	51	20	242	279
ACIN1	4401	3557	3575	2028	812	2421	2111	1925	1473	2336	2934	1200	861	1333	1677
SRP54	1769	1612	1740	975	389	1274	1805	1742	1471	2127	3006	161	143	1098	1269
LOC101097564	632	774	699	346	144	494	429	440	381	459	610	150	113	256	298
MCTS1	168	143	153	83	25	114	157	209	160	161	208	91	98	86	138
NUDT5	638	1740	869	615	294	826	1078	669	572	783	1075	101	101	909	1088
MFAP5	0	1	1	4	17	1	2396	328	242	492	674	110	116	11	9
M6PR	4126	5368	4632	2365	1059	4845	2952	3203	2764	2519	3155	273	202	2246	2608
PAN2	1328	1016	1185	630	279	859	399	358	287	396	508	282	381	154	187
OS9	3187	3080	3367	1609	680	2431	4384	3799	3422	4236	4999	376	275	2732	3154
MTFR1L	846	872	790	478	197	650	1215	1434	1272	1401	1781	85	80	1144	1309
RPS6KA1	3144	3060	3156	1727	668	2483	62	48	50	82	125	419	381	79	88
SMIM12	528	634	698	466	136	620	185	248	234	262	266	44	32	219	204
ZFP69	2515	2735	2002	801	374	1707	172	147	151	240	350	184	159	117	171
ST3GAL3	78	71	108	54	33	81	187	152	133	319	379	91	88	102	92
PTPN22	710	866	816	301	173	437	7	24	20	10	17	271	255	10	6
FMNL2	90	110	173	44	64	57	1236	1161	933	944	1380	285	321	575	719
ZFAND2B	1080	1193	1175	742	172	812	682	843	737	863	1077	128	113	575	699
KPNA1	1342	879	1139	984	310	734	1024	1541	1190	1909	2319	175	119	962	1167
MECOM	5	42	12	10	17	5	165	1078	868	182	213	116	202	29	37
LOC101091558	3	5	0	4	0	1	0	0	0	0	0	27	43	0	0
LOC101096164	1	0	3	0	3	0	0	0	0	0	0	7	19	0	0
LOC101096411	0	0	0	0	1	0	0	0	0	0	0	4	22	0	0
LOC101096667	1	0	0	0	2	0	0	0	0	0	0	30	39	0	0
LOC101081925	0	0	0	0	3	0	0	0	0	0	0	25	32	0	0
ATP5MD	928	1010	1031	401	216	746	1419	1514	1299	1637	2164	81	83	1121	1412
CDC14B	1945	1663	1647	931	344	1098	443	329	256	391	552	210	184	228	277
ZNF189	628	608	575	251	135	433	578	631	521	702	907	82	58	418	492
SLC43A2	3048	2577	2845	1730	626	2296	345	490	428	453	474	239	246	500	595
SLC13A2	2	0	0	2	5	2	0	0	0	0	0	144	157	0	0
DNAJC7	1424	1206	1509	830	288	966	885	1042	825	1176	1533	317	321	632	805
TEAD2	23	11	11	15	17	9	878	1037	927	1078	1386	89	123	793	924
DPF1	2	1	6	7	17	4	26	14	21	15	25	128	143	11	15
DCAF6	1075	970	1103	831	305	900	1644	1883	1559	1989	2722	170	142	2048	2626
TATDN3	56	79	74	28	17	37	65	88	70	120	164	71	68	42	62
SRGAP2	779	523	795	612	270	553	470	491	371	530	689	669	640	254	319
GLRX2	531	536	590	298	94	391	880	994	740	1058	1271	73	40	611	875
ENPP2	177	275	230	74	76	113	1637	2352	1778	1132	1529	187	232	1554	1769
KLHL13	138	41	130	20	34	37	44	95	91	134	149	141	142	6	12
LOC101085783	386	275	295	174	88	215	316	330	288	311	438	129	109	147	211
LOC105261065	1489	1412	1120	449	197	688	354	440	334	424	574	82	69	249	268
LOC101084518	1902	1706	1801	1012	301	1186	76	83	74	137	179	120	110	75	90
TAX1BP1	6171	6418	5710	3251	1261	4313	7428	9051	6887	6552	8680	330	283	5875	7421
MAPRE3	814	967	1095	820	306	999	294	243	186	272	330	64	88	265	288
MOB1A	8911	7138	9135	5917	2638	7145	2463	2602	2064	2655	3757	207	140	1556	2006
MOB1B	1630	1969	1962	1086	357	1100	889	1065	790	1439	1907	146	103	647	860
MAK	1178	735	1340	775	390	1285	18	8	12	19	20	154	187	19	7
MAD2L1BP	281	325	237	143	80	260	69	81	82	82	126	156	207	48	53
ACOT7	744	1076	1483	836	291	1083	661	579	511	1433	1712	190	145	439	501
MMADHC	1362	1600	1527	886	334	1222	1939	2085	1568	2277	2943	103	90	1312	1617
MAATS1	63	53	53	61	23	38	102	81	55	167	234	184	249	76	109
MBNL1	43062	40964	43291	20206	9293	31966	19816	23806	18915	15005	16906	689	436	29737	37899
AMOTL2	59	150	91	51	35	88	5465	7183	6686	6677	7619	148	222	7185	8302
LOC105260951	0	0	3	0	0	0	0	0	0	0	0	8	4	0	0
LOC101090546	0	0	2	0	0	0	0	0	0	0	0	14	6	0	0
LOC101098253	1	0	0	0	3	0	0	0	0	0	1	9	3	0	0
